Time,Z19_B,Z19_D,H20_B,H20_D
2019-10-16 10:11:00+00:00,0.0,8221.462365591398,8284.5,8300.342105263158
2019-10-16 10:12:00+00:00,8225.7136,,8284.5,8302.681818181818
2019-10-16 10:13:00+00:00,8227.0,,0.0,
2019-10-16 10:14:00+00:00,8227.744,8223.0,8285.0041,8301.5
2019-10-16 10:15:00+00:00,8227.744,,8285.0041,
2019-10-16 10:16:00+00:00,8227.0,,8285.0041,8301.0
2019-10-16 10:17:00+00:00,8227.0,,8284.5,8300.5
2019-10-16 10:18:00+00:00,8227.0,,8284.5,8299.5
2019-10-16 10:19:00+00:00,8227.744,,0.0,
2019-10-16 10:20:00+00:00,8227.0,8220.507389162562,8284.5,8298.162094763093
2019-10-16 10:21:00+00:00,8227.0671,8220.5,8284.5,
2019-10-16 10:22:00+00:00,8225.0,8220.0,8284.5,
2019-10-16 10:23:00+00:00,8222.3319,8216.559523809523,8284.5,8296.916666666666
2019-10-16 10:24:00+00:00,8221.6558,,8284.5,8294.875
2019-10-16 10:25:00+00:00,8221.0,8215.99259868421,8284.5,8293.0
2019-10-16 10:26:00+00:00,8220.3042,8214.5,8284.3178,8292.0
2019-10-16 10:27:00+00:00,8218.5,8214.5,8281.5735,8291.782258064517
2019-10-16 10:28:00+00:00,8217.5,8218.382051282051,8281.0,8296.841463414634
2019-10-16 10:29:00+00:00,8218.9529,,8282.2594,
2019-10-16 10:30:00+00:00,8220.5,,8285.0,
2019-10-16 10:31:00+00:00,0.0,8216.007653061224,8285.0,8295.821256038647
2019-10-16 10:32:00+00:00,8220.3042,,8284.5,
2019-10-16 10:33:00+00:00,8217.6021,8215.0,8284.5,8295.0
2019-10-16 10:34:00+00:00,0.0,8216.147610921502,0.0,8296.9
2019-10-16 10:35:00+00:00,8217.5,8217.5,8285.0041,8298.963541666666
2019-10-16 10:36:00+00:00,8217.5,,8285.0041,8297.1
2019-10-16 10:37:00+00:00,8217.5,,0.0,
2019-10-16 10:38:00+00:00,8217.5,,8285.0041,8298.0
2019-10-16 10:39:00+00:00,8217.5,8215.739130434782,8285.0041,8294.510188087774
2019-10-16 10:40:00+00:00,8217.0,,8284.5,8294.5
2019-10-16 10:41:00+00:00,8217.0,,8284.3178,
2019-10-16 10:42:00+00:00,8217.5,,8282.9454,
2019-10-16 10:43:00+00:00,8217.0,,0.0,
2019-10-16 10:44:00+00:00,0.0,8213.5,8282.5,8295.0
2019-10-16 10:45:00+00:00,8217.5,,8282.5,8296.5
2019-10-16 10:46:00+00:00,8217.0,,8282.5,
2019-10-16 10:47:00+00:00,8217.5,,8282.5,
2019-10-16 10:48:00+00:00,0.0,,8282.5,
2019-10-16 10:49:00+00:00,8217.0,,8282.5,8297.041666666666
2019-10-16 10:50:00+00:00,8217.5,,8282.5,
2019-10-16 10:51:00+00:00,0.0,8215.0,8282.5,8299.002976190477
2019-10-16 10:52:00+00:00,8217.5,8216.0,8282.5,8300.5
2019-10-16 10:53:00+00:00,8223.008,8219.489082969432,8282.9454,8299.0
2019-10-16 10:54:00+00:00,8223.6842,,8283.0,
2019-10-16 10:55:00+00:00,8221.0,,0.0,
2019-10-16 10:56:00+00:00,8221.0,8219.844651952462,8283.0,8300.494974874371
2019-10-16 10:57:00+00:00,8221.6558,,8283.5,
2019-10-16 10:58:00+00:00,8223.0,8220.0,8284.5,8303.47619047619
2019-10-16 10:59:00+00:00,0.0,,8285.0041,8302.547619047618
2019-10-16 11:00:00+00:00,0.0,8223.926160337553,8285.0041,
2019-10-16 11:01:00+00:00,8223.5,8223.0,8285.0,
2019-10-16 11:02:00+00:00,8223.0,8223.870689655172,8284.5,
2019-10-16 11:03:00+00:00,8223.6842,8217.736020806242,8284.5,8295.98275862069
2019-10-16 11:04:00+00:00,8222.3319,8213.045454545454,8283.6315,
2019-10-16 11:05:00+00:00,0.0,8214.0,8281.5,
2019-10-16 11:06:00+00:00,8218.5,8214.0,8281.0,
2019-10-16 11:07:00+00:00,8218.5,8214.0,0.0,
2019-10-16 11:08:00+00:00,8218.5,,8281.0,8295.5
2019-10-16 11:09:00+00:00,0.0,8214.0,8281.0,8294.51
2019-10-16 11:10:00+00:00,8218.5,,0.0,
2019-10-16 11:11:00+00:00,0.0,8214.0,8281.0,
2019-10-16 11:12:00+00:00,8218.5,8213.5,8281.0,8294.5
2019-10-16 11:13:00+00:00,8217.5,8212.5,8281.5735,8293.0
2019-10-16 11:14:00+00:00,8216.9269,8212.0,8281.0,
2019-10-16 11:15:00+00:00,8213.5524,8212.0,8281.0,
2019-10-16 11:16:00+00:00,0.0,,8281.0,
2019-10-16 11:17:00+00:00,0.0,,8281.0,
2019-10-16 11:18:00+00:00,8210.0,8212.494186046511,8281.5735,8292.017326732674
2019-10-16 11:19:00+00:00,8211.529,,0.0,
2019-10-16 11:20:00+00:00,0.0,,8281.0,
2019-10-16 11:21:00+00:00,8214.5,,8281.0,
2019-10-16 11:22:00+00:00,8214.5,,0.0,
2019-10-16 11:23:00+00:00,8214.5,8211.665109034268,8281.0,8291.620689655172
2019-10-16 11:24:00+00:00,8214.5,8212.0,8281.0,8288.169683257918
2019-10-16 11:25:00+00:00,0.0,,0.0,
