Time,v60,spread60,v10,spread10,v2,spread2
2019-06-19 00:03:11.999999999 +0800 +08,352650.62927609,15.360000000000582,32944.24288686,5.789999999999054,3564.928657960001,3.069999999999709
2019-06-19 00:03:13.999999999 +0800 +08,352148.72174429,13.699999999998909,32640.959408140003,5.779999999998836,5085.033566360001,2
2019-06-19 00:03:15.999999999 +0800 +08,343047.93391604995,13.219999999999345,25905.76364976001,5.520000000000437,2046.2420181299997,1.8299999999999272
2019-06-19 00:03:17.999999999 +0800 +08,336275.80237931997,11.840000000000146,19112.407148669994,5.359999999998763,1874.4268875600003,1.7800000000006548
2019-06-19 00:03:19.999999999 +0800 +08,331661.74801219,11.260000000000218,20505.21536917,3.069999999999709,7934.58423916,1.0300000000006548
2019-06-19 00:03:21.999999999 +0800 +08,312048.5371329499,11.260000000000218,18047.54622281,2.040000000000873,1107.2595116,0.5200000000004366
2019-06-19 00:03:23.999999999 +0800 +08,303107.31769778987,10.5,17856.250675100004,4.920000000000073,4893.73801865,2.9400000000005093
2019-06-19 00:03:25.999999999 +0800 +08,292977.52851100994,9.239999999999782,18512.30737723,4.920000000000073,2702.29872026,1.0300000000006548
2019-06-19 00:03:27.999999999 +0800 +08,298858.82081972004,9.239999999999782,26967.090181439995,4.130000000001019,10329.20969177,2.7300000000013824
2019-06-19 00:03:29.999999999 +0800 +08,296558.55963500997,9.239999999999782,26128.63535048,3.5900000000001455,7096.1294082,2.1599999999998545
2019-06-19 00:03:31.999999999 +0800 +08,283111.17729416,9.239999999999782,27297.75203982,3.5900000000001455,2276.3762009399998,2.1299999999991996
2019-06-19 00:03:33.999999999 +0800 +08,284812.43097150006,9.239999999999782,24682.87199626,2.7700000000004366,2278.85797509,0.32999999999992724
2019-06-19 00:03:35.999999999 +0800 +08,279196.75685185,9.239999999999782,26507.143729769996,3.0900000000001455,4526.57045377,2.5
2019-06-19 00:03:37.999999999 +0800 +08,275629.08557656006,9.229999999999563,17963.667628380004,2.9799999999995634,1785.7335903800001,2.2999999999992724
2019-06-19 00:03:39.999999999 +0800 +08,266714.32217483,9.170000000000073,11892.718788959999,2.9499999999989086,1025.18056878,1.5400000000008731
2019-06-19 00:03:41.999999999 +0800 +08,267256.52820291993,9.040000000000873,10726.029521979995,2.9499999999989086,1109.68693396,0
2019-06-19 00:03:43.999999999 +0800 +08,262476.53694819,8.8799999999992,10514.94052794,3.1299999999991996,2067.76898105,2.110000000000582
2019-06-19 00:03:45.999999999 +0800 +08,177902.6399676699,7.780000000000655,7556.853735089999,3.0499999999992724,1568.4836609200001,1.1599999999998545
2019-06-19 00:03:47.999999999 +0800 +08,156125.41034409002,9.229999999999563,38855.46245555,7.059999999999491,33084.342310839995,6.199999999998909
